N	X	Y	Z	FIELD_VALUE
2	-0.2139658111	1.2139658061	0.4803310164	0.0292105107
2	-0.2220049433	1.2220049383	0.4769276150	0.0282846701
2	-0.2300440756	1.2300440706	0.4735242137	0.0272841530
2	-0.2379865810	1.2379865760	0.4700608871	0.0262317350
2	-0.2458506923	1.2458506872	0.4665502148	0.0251495294
2	-0.2536158185	1.2536158135	0.4629813133	0.0240583650
2	-0.2612546563	1.2612546513	0.4593405135	0.0229771358
2	-0.2687322110	1.2687322060	0.4556115633	0.0219221084
2	-0.2760040297	1.2760040247	0.4517757254	0.0209066567
2	-0.2830145687	1.2830145637	0.4478123913	0.0199407182
2	-0.2896965763	1.2896965713	0.4437006166	0.0190307739
2	-0.2959728880	1.2959728830	0.4394218861	0.0181795804
2	-0.3017624053	1.3017624003	0.4349640124	0.0173863314
2	-0.3075519226	1.3075519176	0.4305061387	0.0166492891
2	-0.3122625417	1.3122625367	0.4257216526	0.0159608740
2	-0.3163065019	1.3163064969	0.4207773142	0.0153128638
2	-0.3196978638	1.3196978588	0.4157039086	0.0146972197
2	-0.3224812205	1.3224812155	0.4105328522	0.0141067365
2	-0.3247263447	1.3247263397	0.4052925269	0.0135354468
2	-0.3265142996	1.3265142946	0.4000055318	0.0129788708
2	-0.3279258063	1.3279258013	0.3946882715	0.0124338242
2	-0.3290341747	1.3290341697	0.3893519056	0.0118981853
2	-0.3299022186	1.3299022136	0.3840036940	0.0113708961
2	-0.3305817126	1.3305817076	0.3786482185	0.0108515402
2	-0.3312612065	1.3312612015	0.3732927429	0.0103404604
2	-0.3316619081	1.3316619031	0.3679297807	0.0098383031
2	-0.3319739162	1.3319739112	0.3625652482	0.0093462589
2	-0.3322192242	1.3322192192	0.3571997927	0.0088658474
2	-0.3324133238	1.3324133188	0.3518337784	0.0083988195
2	-0.3325679299	1.3325679249	0.3464674222	0.0079470658
2	-0.3326919610	1.3326919560	0.3411008544	0.0075125296
2	-0.3327922223	1.3327922173	0.3357341544	0.0070971523
2	-0.3328739223	1.3328739173	0.3303673704	0.0067027079
2	-0.3329410641	1.3329410591	0.3250005327	0.0063308807
2	-0.3329967520	1.3329967470	0.3196336601	0.0059831441
2	-0.3330524399	1.3330524349	0.3142667874	0.0056608167
2	-0.3330909321	1.3330909271	0.3088998746	0.0053648235
2	-0.3331236967	1.3331236917	0.3035329516	0.0050960514
2	-0.3331520498	1.3331520448	0.2981660219	0.0048551435
2	-0.3331769766	1.3331769716	0.2927990877	0.0046425959
2	-0.3331993085	1.3331993035	0.2874321504	0.0044588580
2	-0.3332197975	1.3332197925	0.2820652112	0.0043042014
2	-0.3332392134	1.3332392084	0.2766982710	0.0041788928
2	-0.3332585554	1.3332585504	0.2713313306	0.0040833626
2	-0.3332798993	1.3332798943	0.2659643923	0.0040180279
2	-0.3333020982	1.3333020932	0.2605974549	0.0039836389
2	-0.3333332166	1.3333332116	0.2574617065	0.0039781622
2	-0.3333333400	1.3333333300	0.2582080000	0.0039784739
