N	X	Y	Z	FIELD_VALUE
4	0.2392053397	0.1484407117	0.1465461008	0.0087874171
4	0.2409606894	0.1471169971	0.1430663852	0.0088236905
4	0.2427391341	0.1459804757	0.1395280380	0.0088502608
4	0.2445308535	0.1449681243	0.1359561778	0.0088685631
4	0.2463395560	0.1441447443	0.1323411413	0.0088801214
4	0.2481580748	0.1434720758	0.1286976998	0.0088864165
4	0.2500000000	0.1434720758	0.1250000000	0.0088883451
4	0.2518419252	0.1434720758	0.1213023002	0.0088864165
4	0.2536604440	0.1441447443	0.1176588587	0.0088801214
4	0.2554691465	0.1449681243	0.1140438222	0.0088685631
4	0.2572608659	0.1459804757	0.1104719620	0.0088502608
4	0.2590393106	0.1471169971	0.1069336148	0.0088236905
4	0.2607946603	0.1484407117	0.1034538992	0.0087874171
4	0.2625385987	0.1498493955	0.1000043098	0.0087400882
4	0.2642720259	0.1513327629	0.0965830799	0.0086806920
4	0.2659971830	0.1528744023	0.0931853663	0.0086085588
4	0.2677160284	0.1544618498	0.0898071403	0.0085233345
4	0.2694306464	0.1560829628	0.0864439760	0.0084250738
4	0.2711427784	0.1577285497	0.0830923632	0.0083142361
4	0.2728539731	0.1593911071	0.0797493363	0.0081915762
4	0.2745656512	0.1610642376	0.0764123118	0.0080582114
4	0.2762773293	0.1627373681	0.0730752872	0.0079155325
4	0.2779923806	0.1644198054	0.0697452319	0.0077651566
4	0.2797114601	0.1660979850	0.0664150991	0.0076088964
4	0.2814356206	0.1677671333	0.0630828905	0.0074486396
4	0.2831658166	0.1694227634	0.0597467579	0.0072863268
4	0.2849028522	0.1710604140	0.0564048532	0.0071239297
4	0.2866473061	0.1726755384	0.0530552488	0.0069633820
4	0.2883994723	0.1742634674	0.0496959100	0.0068064781
4	0.2901591980	0.1758193493	0.0463245996	0.0066549306
4	0.2919257226	0.1773381118	0.0429388008	0.0065103353
4	0.2936973994	0.1788143653	0.0395355537	0.0063740610
4	0.2954690762	0.1802906188	0.0361323066	0.0062473680
4	0.2972446585	0.1816755408	0.0326898058	0.0061313067
4	0.2990136319	0.1829995676	0.0292177194	0.0060268024
4	0.3007661252	0.1842557508	0.0257093732	0.0059346202
4	0.3024870363	0.1854350073	0.0221553528	0.0058554275
4	0.3041528865	0.1865258178	0.0185426549	0.0057897084
4	0.3057266265	0.1875125125	0.0148534131	0.0057378462
4	0.3072201592	0.1884268660	0.0111081497	0.0056999974
4	0.3084736023	0.1891615658	0.0072267985	0.0056762372
4	0.3094563280	0.1897382090	0.0022303604	0.0056659214
4	0.3104546038	0.1890160477	-0.0023986753	0.0056751837
4	0.3117117337	0.1877023289	-0.0061090482	0.0056989822
4	0.3187890000	0.1812110000	0.0000000000	0.0057838357
5	0.0805155000	0.8375345000	0.9308565000	0.0059024059
5	0.0787536702	0.8377574823	0.9264851129	0.0058933434
5	0.0769678281	0.8411066139	0.9277941610	0.0058161498
5	0.0752085016	0.8445223974	0.9289457050	0.0057540088
5	0.0734797750	0.8480094110	0.9298986112	0.0057072197
5	0.0718128518	0.8515978152	0.9304960304	0.0056757847
5	0.0702181279	0.8552532918	0.9307876209	0.0056594527
5	0.0693457456	0.8575497593	0.9306849679	0.0056567327
5	0.0645175906	0.8591726293	0.9312955222	0.0056721917
5	0.0606065655	0.8596782739	0.9319805652	0.0057043891
5	0.0566971019	0.8600206008	0.9327761354	0.0057521041
5	0.0528273444	0.8601981823	0.9338063593	0.0058136712
5	0.0489575869	0.8603757638	0.9348365832	0.0058878381
5	0.0451200508	0.8604901905	0.9359989352	0.0059735490
5	0.0413216787	0.8605571999	0.9372970681	0.0060700639
5	0.0375681954	0.8605882384	0.9387313259	0.0061767826
5	0.0338638910	0.8605926528	0.9402986152	0.0062932692
5	0.0302114239	0.8605785713	0.9419928167	0.0064190874
5	0.0266117818	0.8605534225	0.9438055086	0.0065538180
5	0.0230644657	0.8605241687	0.9457268905	0.0066968709
5	0.0195679173	0.8604975539	0.9477468390	0.0068476547
5	0.0161211347	0.8604810502	0.9498577371	0.0070054299
5	0.0127518745	0.8605017053	0.9521003949	0.0071692760
5	0.0093826143	0.8605223605	0.9543430528	0.0073381609
5	0.0060526347	0.8605691081	0.9566481258	0.0075108653
5	0.0027589054	0.8606478501	0.9590081558	0.0076860703
5	-0.0005012879	0.8607643836	0.9614165583	0.0078622862
5	-0.0037302529	0.8609244067	0.9638675574	0.0080379882
5	-0.0069298430	0.8611335077	0.9663560882	0.0082114977
5	-0.0101014580	0.8613971468	0.9688776623	0.0083811775
5	-0.0132459577	0.8617207576	0.9714283618	0.0085452584
5	-0.0163636148	0.8621099644	0.9740047600	0.0087020202
5	-0.0194531965	0.8625735108	0.9766044195	0.0088497758
5	-0.0224915180	0.8631829236	0.9792367908	0.0089868701
5	-0.0255298396	0.8637923364	0.9818691621	0.0091118171
5	-0.0285386415	0.8644848775	0.9845159895	0.0092231379
5	-0.0315163841	0.8652645472	0.9871746201	0.0093195708
5	-0.0344613379	0.8661347109	0.9898424042	0.0093999881
5	-0.0373717744	0.8670976773	0.9925166916	0.0094634864
5	-0.0402497174	0.8681464110	0.9951941335	0.0095093698
5	-0.0430992025	0.8692637037	0.9978745123	0.0095371195
5	-0.0458654285	0.8705829547	1.0005499192	0.0095464169
5	-0.0486316545	0.8719022056	1.0032253262	0.0095371119
5	-0.0513097481	0.8734186827	1.0058845587	0.0095092406
5	-0.0539669810	0.8749790380	1.0085389462	0.0094630235
5	-0.0565807708	0.8766285082	1.0111816377	0.0093988342
5	-0.0591559948	0.8783613017	1.0138074892	0.0093172511
5	-0.0616951754	0.8801700680	1.0164157638	0.0092190248
5	-0.0642023306	0.8820475103	1.0190049120	0.0091050965
5	-0.0666824126	0.8839859402	1.0215734903	0.0089765973
5	-0.0691404981	0.8859789624	1.0241195624	0.0088348469
5	-0.0715836222	0.8880171912	1.0266423023	0.0086813418
5	-0.0740187358	0.8900922231	1.0291407546	0.0085177284
5	-0.0764529703	0.8921960527	1.0316138565	0.0083458093
5	-0.0788936046	0.8943209458	1.0340604113	0.0081674620
5	-0.0813480180	0.8964593988	1.0364790079	0.0079845965
5	-0.0838024313	0.8985978519	1.0388976045	0.0077991620
5	-0.0862958995	0.9007477505	1.0412611761	0.0076130967
5	-0.0888248493	0.9028914348	1.0435896800	0.0074282082
5	-0.0913960169	0.9050213436	1.0458814144	0.0072462445
5	-0.0940165685	0.9071304718	1.0481329226	0.0070688182
5	-0.0966935840	0.9092118618	1.0503398874	0.0068973998
5	-0.0994339753	0.9112585071	1.0524971112	0.0067333117
5	-0.1022444702	0.9132632818	1.0545983623	0.0065777223
5	-0.1051316635	0.9152188280	1.0566361107	0.0064316745
5	-0.1081021171	0.9171173769	1.0586011437	0.0062961215
5	-0.1111625806	0.9189504393	1.0604818993	0.0061718692
5	-0.1142230440	0.9207835017	1.0623626549	0.0060597482
5	-0.1174599529	0.9224749449	1.0640575468	0.0059604167
5	-0.1208117313	0.9240642683	1.0656114494	0.0058744494
5	-0.1242852118	0.9255337390	1.0669937314	0.0058023639
5	-0.1278660090	0.9268829175	1.0682007170	0.0057446303
5	-0.1315985280	0.9280221523	1.0691058181	0.0057015472
5	-0.1354734959	0.9288715244	1.0696238667	0.0056730907
5	-0.1394518073	0.9292672775	1.0696438936	0.0056590901
5	-0.1414595962	0.9291909501	1.0694432359	0.0056573305
5	-0.1440928183	0.9284676457	1.0693307110	0.0056605884
5	-0.1478716245	0.9271785083	1.0695460447	0.0056774268
5	-0.1515485383	0.9257204132	1.0701520731	0.0057090772
5	-0.1551070276	0.9241423158	1.0711018526	0.0057559098
5	-0.1585847632	0.9225018274	1.0722424814	0.0058179565
5	-0.1619838630	0.9208074068	1.0735436140	0.0058949708
5	-0.1624655000	0.9194845000	1.0691435000	0.0059023071
6	0.1812110000	0.1812110000	0.2500000000	0.0058453851
6	0.1880587976	0.1879676167	0.2564358330	0.0057615170
6	0.1892378014	0.1893120982	0.2527096090	0.0057433740
6	0.1897352088	0.1897284378	0.2498213749	0.0057397043
6	0.1890069627	0.1889383222	0.2459130154	0.0057466604
6	0.1874846506	0.1876421923	0.2423051995	0.0057689752
6	0.1856773084	0.1861682448	0.2389212868	0.0058075913
6	0.1835488368	0.1844876061	0.2358601864	0.0058631775
6	0.1813422066	0.1827552941	0.2328918717	0.0059361038
6	0.1790215796	0.1809444808	0.2300725763	0.0060264337
6	0.1766210929	0.1790743797	0.2273703499	0.0061340407
6	0.1741636411	0.1771574094	0.2247609871	0.0062585972
6	0.1716653832	0.1752018973	0.2222258139	0.0063995112
